PLAYER_ID,GAME_DATE,POTENTIAL_AST,POTENTIAL_AST_L5
1628973,2024-10-30,16.0,
1628973,2024-11-01,9.0,
1628975,2024-10-26,1.0,
1628976,2024-10-23,2.0,
1628976,2024-10-25,6.0,
1628976,2024-10-26,5.0,
1628976,2024-10-28,1.0,
1628976,2024-10-30,1.0,
1628978,2024-10-22,6.0,
1628978,2024-10-24,4.0,
1628978,2024-10-26,3.0,
1628978,2024-10-29,7.0,
1628978,2024-11-01,8.0,
1628981,2024-10-23,0.0,
1628981,2024-10-25,0.0,
1628981,2024-10-26,3.0,
1628981,2024-10-30,0.0,
1628983,2024-10-24,16.0,
1628983,2024-10-26,9.0,
1628983,2024-10-27,16.0,
1628983,2024-10-30,7.0,
1628983,2024-11-01,12.0,
1628988,2024-10-25,1.0,
1628989,2024-10-24,1.0,
1628989,2024-10-26,5.0,
1628989,2024-10-28,4.0,
1628989,2024-10-29,5.0,
1628989,2024-11-01,5.0,
1628991,2024-10-26,2.0,
1628991,2024-10-28,6.0,
1628991,2024-10-30,2.0,
1628991,2024-10-31,3.0,
1628997,2024-10-23,4.0,
1628997,2024-10-25,3.0,
1628997,2024-10-27,6.0,
1628997,2024-10-30,2.0,
1628998,2024-10-23,2.0,
1628998,2024-10-25,3.0,
1628998,2024-10-26,4.0,
1628998,2024-10-30,2.0,
1628998,2024-11-01,3.0,
1629001,2024-10-23,8.0,
1629001,2024-10-25,6.0,
1629001,2024-10-27,3.0,
1629003,2024-10-23,0.0,
1629003,2024-10-25,6.0,
1629003,2024-10-27,1.0,
1629003,2024-10-29,4.0,
1629003,2024-10-30,1.0,
1629008,2024-10-24,4.0,
1629008,2024-10-26,4.0,
1629008,2024-10-28,5.0,
1629008,2024-10-29,2.0,
1629008,2024-11-01,7.0,
1629012,2024-10-23,7.0,
1629012,2024-10-25,8.0,
1629012,2024-10-28,12.0,
1629012,2024-10-29,5.0,
1629012,2024-10-31,6.0,
1629014,2024-10-23,11.0,
1629014,2024-10-25,13.0,
1629014,2024-10-27,6.0,
1629014,2024-10-28,8.0,
1629014,2024-10-30,12.0,
1629014,2024-11-01,10.0,10.0
1629018,2024-10-23,1.0,
1629018,2024-10-25,2.0,
1629018,2024-10-27,1.0,
1629018,2024-10-28,6.0,
1629018,2024-10-31,1.0,
1629021,2024-10-23,2.0,
1629021,2024-10-25,0.0,
1629021,2024-10-26,0.0,
1629021,2024-10-28,1.0,
1629021,2024-10-30,2.0,
1629021,2024-11-01,2.0,1.0
1629023,2024-10-24,3.0,
1629023,2024-10-26,1.0,
1629023,2024-10-28,3.0,
1629023,2024-10-29,4.0,
1629023,2024-10-31,0.0,
1629027,2024-10-23,21.0,
1629027,2024-10-25,18.0,
1629027,2024-10-27,15.0,
1629027,2024-10-28,19.0,
1629027,2024-10-30,26.0,
1629027,2024-11-01,26.0,19.8
1629028,2024-10-23,3.0,
1629028,2024-10-25,2.0,
1629028,2024-10-27,2.0,
1629028,2024-10-28,1.0,
1629028,2024-10-30,5.0,
1629028,2024-11-01,2.0,2.6
1629029,2024-10-24,16.0,
1629029,2024-10-26,15.0,
1629029,2024-10-28,13.0,
1629029,2024-10-29,14.0,
1629029,2024-10-31,10.0,
1629048,2024-10-23,1.0,
1629048,2024-10-25,0.0,
1629048,2024-10-26,0.0,
1629060,2024-10-22,3.0,
1629060,2024-10-25,3.0,
1629060,2024-10-26,2.0,
1629060,2024-10-28,1.0,
1629060,2024-10-30,3.0,
1629060,2024-11-01,1.0,2.4
1629111,2024-10-23,4.0,
1629111,2024-10-25,1.0,
1629130,2024-10-23,3.0,
1629130,2024-10-26,2.0,
1629130,2024-10-28,1.0,
1629130,2024-10-30,0.0,
1629162,2024-10-26,1.0,
1629162,2024-10-28,1.0,
1629162,2024-10-29,2.0,
1629216,2024-10-22,1.0,
1629216,2024-10-25,1.0,
1629216,2024-10-26,1.0,
1629216,2024-10-28,0.0,
1629216,2024-10-30,1.0,
1629216,2024-11-01,1.0,0.8
1629234,2024-10-25,1.0,
1629234,2024-10-29,1.0,
1629234,2024-10-31,2.0,
1629312,2024-10-23,4.0,
1629312,2024-10-28,1.0,
1629599,2024-10-23,1.0,
1629599,2024-10-26,6.0,
1629599,2024-10-27,1.0,
1629599,2024-10-30,3.0,
1629599,2024-10-31,0.0,
1629611,2024-10-23,3.0,
1629611,2024-10-26,1.0,
1629611,2024-10-27,0.0,
1629611,2024-10-30,4.0,
1629611,2024-10-31,3.0,
1629614,2024-10-23,11.0,
1629614,2024-10-25,6.0,
1629614,2024-10-27,9.0,
1629614,2024-10-28,14.0,
1629614,2024-10-30,2.0,
1629618,2024-10-24,1.0,
1629627,2024-10-25,6.0,
1629627,2024-10-27,6.0,
1629627,2024-10-29,4.0,
1629627,2024-10-30,14.0,
1629627,2024-11-01,11.0,
1629628,2024-10-28,6.0,
1629628,2024-10-30,13.0,
1629628,2024-11-01,13.0,
1629629,2024-10-30,0.0,
1629630,2024-10-23,19.0,
1629630,2024-10-25,9.0,
1629630,2024-10-26,12.0,
1629630,2024-10-30,16.0,
1629630,2024-10-31,25.0,
1629631,2024-10-23,3.0,
1629631,2024-10-25,4.0,
1629632,2024-10-23,6.0,
1629632,2024-10-25,12.0,
1629632,2024-10-26,11.0,
1629632,2024-10-28,14.0,
1629632,2024-10-30,5.0,
1629632,2024-11-01,12.0,9.6
1629634,2024-10-23,2.0,
1629634,2024-10-25,1.0,
1629634,2024-10-26,4.0,
1629634,2024-10-28,2.0,
1629634,2024-10-30,1.0,
1629634,2024-10-31,2.0,2.0
1629636,2024-10-23,8.0,
1629636,2024-10-25,11.0,
1629636,2024-10-26,8.0,
1629636,2024-10-28,9.0,
1629636,2024-10-30,8.0,
1629636,2024-11-01,6.0,8.8
1629637,2024-10-22,4.0,
1629637,2024-10-25,5.0,
1629637,2024-10-26,1.0,
1629637,2024-10-28,1.0,
1629637,2024-10-30,2.0,
1629637,2024-11-01,2.0,2.6
1629638,2024-10-22,1.0,
1629638,2024-10-24,3.0,
1629638,2024-10-26,5.0,
1629638,2024-10-29,3.0,
1629638,2024-11-01,9.0,
1629639,2024-10-23,9.0,
1629639,2024-10-26,9.0,
1629639,2024-10-28,9.0,
1629639,2024-10-30,9.0,
1629640,2024-10-24,5.0,
1629640,2024-10-28,0.0,
1629640,2024-10-30,4.0,
1629640,2024-10-31,0.0,
1629645,2024-10-23,5.0,
1629645,2024-10-26,4.0,
1629645,2024-10-27,6.0,
1629645,2024-10-30,4.0,
1629645,2024-10-31,3.0,
1629646,2024-10-24,1.0,
1629646,2024-10-31,0.0,
1629651,2024-10-23,1.0,
1629651,2024-10-25,2.0,
1629651,2024-10-27,1.0,
1629651,2024-10-29,4.0,
1629651,2024-11-01,5.0,
1629652,2024-10-24,3.0,
1629652,2024-10-26,6.0,
1629652,2024-10-27,2.0,
1629652,2024-10-30,3.0,
1629652,2024-11-01,2.0,
1629655,2024-10-24,1.0,
1629655,2024-10-26,4.0,
1629655,2024-10-28,1.0,
1629655,2024-10-29,3.0,
1629655,2024-10-31,1.0,
1629656,2024-10-24,0.0,
1629656,2024-10-26,1.0,
1629656,2024-10-28,2.0,
1629656,2024-10-29,0.0,
1629656,2024-10-31,0.0,
1629659,2024-10-23,3.0,
1629659,2024-10-25,0.0,
1629659,2024-10-26,1.0,
1629659,2024-11-01,1.0,
1629660,2024-10-23,10.0,
1629660,2024-10-25,5.0,
1629660,2024-10-26,5.0,
1629660,2024-10-28,1.0,
1629660,2024-10-30,7.0,
1629660,2024-11-01,3.0,5.6
1629661,2024-10-23,2.0,
1629661,2024-10-25,4.0,
1629661,2024-10-27,6.0,
1629661,2024-10-29,8.0,
1629661,2024-10-30,4.0,
1629661,2024-11-01,5.0,4.8
1629673,2024-10-24,16.0,
1629673,2024-10-26,14.0,
1629673,2024-10-28,12.0,
1629673,2024-10-30,19.0,
1629674,2024-10-22,0.0,
1629674,2024-10-24,2.0,
1629674,2024-10-28,1.0,
1629674,2024-10-30,2.0,
1629674,2024-11-01,4.0,
1629675,2024-10-22,3.0,
1629675,2024-10-24,5.0,
1629675,2024-10-26,2.0,
1629675,2024-10-29,1.0,
1629675,2024-11-01,1.0,
1629684,2024-10-23,1.0,
1629684,2024-10-25,8.0,
1629684,2024-10-26,1.0,
1629684,2024-10-30,5.0,
1629684,2024-11-01,7.0,
1629723,2024-10-23,1.0,
1629723,2024-10-25,2.0,
1629723,2024-10-30,1.0,
1629726,2024-10-25,1.0,
1629726,2024-10-27,4.0,
1629726,2024-10-28,2.0,
1629726,2024-10-30,2.0,
1629726,2024-11-01,3.0,
1629731,2024-10-23,1.0,
1629731,2024-10-25,0.0,
1629731,2024-10-26,0.0,
1629731,2024-10-28,7.0,
1629731,2024-10-30,2.0,
1629731,2024-11-01,1.0,2.0
1629750,2024-10-23,1.0,
1629750,2024-10-25,1.0,
1629750,2024-10-27,1.0,
1629750,2024-10-29,1.0,
1629750,2024-10-30,2.0,
1629750,2024-11-01,0.0,1.2
1630162,2024-10-22,11.0,
1630162,2024-10-24,8.0,
1630162,2024-10-26,8.0,
1630162,2024-10-29,6.0,
1630162,2024-11-01,7.0,
1630163,2024-10-23,19.0,
1630163,2024-10-25,11.0,
1630163,2024-10-26,18.0,
1630163,2024-10-30,17.0,
1630163,2024-11-01,7.0,
1630164,2024-10-23,0.0,
1630166,2024-10-23,10.0,
1630166,2024-10-25,10.0,
1630166,2024-10-27,5.0,
1630166,2024-10-28,5.0,
1630166,2024-10-30,5.0,
1630166,2024-11-01,7.0,7.0
1630167,2024-10-23,2.0,
1630167,2024-10-25,5.0,
1630167,2024-10-27,1.0,
1630167,2024-10-28,1.0,
1630167,2024-10-30,2.0,
1630167,2024-11-01,0.0,2.2
1630168,2024-10-23,1.0,
1630168,2024-10-25,5.0,
1630168,2024-10-27,1.0,
1630168,2024-10-30,1.0,
1630168,2024-11-01,1.0,
1630169,2024-10-23,12.0,
1630169,2024-10-25,10.0,
1630169,2024-10-27,6.0,
1630169,2024-10-28,12.0,
1630169,2024-10-30,22.0,
1630169,2024-11-01,24.0,12.4
1630171,2024-10-23,3.0,
1630171,2024-10-25,5.0,
1630171,2024-10-26,1.0,
1630171,2024-10-28,1.0,
1630171,2024-10-30,0.0,
1630171,2024-11-01,2.0,2.0
1630172,2024-10-23,2.0,
1630172,2024-10-25,2.0,
1630172,2024-10-26,6.0,
1630172,2024-10-28,2.0,
1630172,2024-10-30,0.0,
1630172,2024-11-01,2.0,2.4
1630174,2024-10-23,1.0,
1630174,2024-10-25,1.0,
1630174,2024-10-27,3.0,
1630174,2024-10-28,1.0,
1630174,2024-10-30,3.0,
1630174,2024-11-01,1.0,1.8
1630175,2024-10-23,12.0,
1630175,2024-10-25,4.0,
1630175,2024-10-26,2.0,
1630175,2024-10-28,6.0,
1630175,2024-11-01,2.0,
1630178,2024-10-23,10.0,
1630178,2024-10-25,7.0,
1630178,2024-10-27,13.0,
1630178,2024-10-30,8.0,
1630182,2024-10-25,3.0,
1630182,2024-10-30,3.0,
1630182,2024-11-01,3.0,
1630183,2024-10-22,2.0,
1630183,2024-10-24,4.0,
1630183,2024-10-26,4.0,
1630183,2024-10-29,3.0,
1630183,2024-11-01,3.0,
1630188,2024-10-23,0.0,
1630188,2024-10-25,4.0,
1630188,2024-10-26,0.0,
1630188,2024-10-28,1.0,
1630188,2024-11-01,0.0,
1630191,2024-10-23,2.0,
1630191,2024-10-25,1.0,
1630191,2024-10-26,3.0,
1630191,2024-10-28,1.0,
1630191,2024-10-30,6.0,
1630191,2024-11-01,4.0,2.6
1630192,2024-10-24,0.0,
1630193,2024-10-23,6.0,
1630194,2024-10-25,1.0,
1630194,2024-11-01,1.0,
1630198,2024-10-24,1.0,
1630198,2024-10-26,2.0,
1630198,2024-10-27,3.0,
1630198,2024-10-30,4.0,
1630198,2024-11-01,6.0,
1630200,2024-10-24,4.0,
1630202,2024-10-22,9.0,
1630202,2024-10-24,2.0,
1630202,2024-10-26,0.0,
1630202,2024-10-28,4.0,
1630202,2024-10-30,10.0,
1630202,2024-11-01,4.0,5.0
1630208,2024-10-23,1.0,
1630208,2024-10-25,3.0,
1630208,2024-10-26,2.0,
1630208,2024-10-30,5.0,
1630208,2024-11-01,2.0,
1630214,2024-10-22,5.0,
1630214,2024-10-24,1.0,
1630214,2024-10-26,1.0,
1630214,2024-10-28,2.0,
1630214,2024-10-30,0.0,
1630215,2024-10-24,5.0,
1630215,2024-10-26,8.0,
1630215,2024-10-30,3.0,
1630217,2024-10-23,8.0,
1630217,2024-10-25,5.0,
1630217,2024-10-26,5.0,
1630217,2024-10-28,9.0,
1630217,2024-10-30,4.0,
1630224,2024-10-23,1.0,
1630224,2024-10-25,10.0,
1630224,2024-10-28,2.0,
1630224,2024-10-31,7.0,
1630228,2024-10-23,2.0,
1630228,2024-10-25,1.0,
1630228,2024-10-27,3.0,
1630228,2024-10-29,4.0,
1630228,2024-10-30,5.0,
1630230,2024-10-24,4.0,
1630230,2024-10-26,3.0,
1630230,2024-10-28,3.0,
1630230,2024-10-29,8.0,
1630230,2024-10-31,4.0,
1630231,2024-10-23,1.0,
1630231,2024-10-25,5.0,
1630231,2024-10-27,1.0,
1630231,2024-10-30,1.0,
1630241,2024-10-23,2.0,
1630241,2024-10-25,2.0,
1630241,2024-10-26,3.0,
1630241,2024-10-28,4.0,
1630241,2024-10-30,3.0,
1630241,2024-11-01,4.0,2.8
1630243,2024-10-26,0.0,
1630245,2024-10-23,5.0,
1630245,2024-10-25,6.0,
1630245,2024-10-26,10.0,
1630245,2024-10-28,8.0,
1630245,2024-10-30,7.0,
1630245,2024-11-01,5.0,7.2
1630249,2024-10-23,4.0,
1630249,2024-10-25,2.0,
1630249,2024-10-27,3.0,
1630249,2024-10-28,3.0,
1630256,2024-10-25,1.0,
1630264,2024-10-24,1.0,
1630264,2024-10-30,0.0,
1630288,2024-10-23,1.0,
1630311,2024-10-29,0.0,
1630311,2024-10-30,2.0,
1630314,2024-10-28,0.0,
1630322,2024-10-23,0.0,
1630322,2024-10-25,1.0,
1630322,2024-10-27,0.0,
1630322,2024-10-29,6.0,
1630322,2024-10-30,3.0,
1630526,2024-10-23,1.0,
1630526,2024-10-25,0.0,
1630526,2024-10-27,0.0,
1630526,2024-10-29,0.0,
1630526,2024-10-30,2.0,
1630526,2024-11-01,1.0,0.6
1630527,2024-10-29,0.0,
1630527,2024-10-30,2.0,
1630527,2024-11-01,2.0,
1630529,2024-10-23,4.0,
1630529,2024-10-25,1.0,
1630529,2024-10-27,1.0,
1630529,2024-10-29,2.0,
1630531,2024-10-24,2.0,
1630531,2024-10-28,1.0,
1630531,2024-11-01,0.0,
1630532,2024-10-23,8.0,
1630532,2024-10-25,6.0,
1630532,2024-10-26,7.0,
1630532,2024-10-28,4.0,
1630532,2024-10-30,9.0,
1630532,2024-11-01,8.0,6.8
1630533,2024-10-23,2.0,
1630533,2024-10-25,2.0,
1630533,2024-10-27,2.0,
1630533,2024-10-29,4.0,
1630533,2024-10-30,3.0,
1630533,2024-11-01,1.0,2.6
1630534,2024-10-23,7.0,
1630534,2024-10-25,4.0,
1630534,2024-10-26,2.0,
1630534,2024-10-28,2.0,
1630534,2024-10-30,5.0,
1630534,2024-11-01,5.0,4.0
1630537,2024-10-23,0.0,
1630537,2024-10-26,0.0,
1630539,2024-10-23,1.0,
1630539,2024-10-26,0.0,
1630539,2024-10-27,0.0,
1630539,2024-10-30,3.0,
1630539,2024-10-31,0.0,
1630540,2024-10-22,7.0,
1630540,2024-10-25,3.0,
1630540,2024-10-28,5.0,
1630540,2024-10-30,6.0,
1630540,2024-11-01,3.0,
1630541,2024-10-23,3.0,
1630541,2024-10-25,4.0,
1630541,2024-10-27,0.0,
1630541,2024-10-29,2.0,
1630541,2024-10-30,3.0,
1630543,2024-10-25,2.0,
1630543,2024-10-27,2.0,
1630543,2024-10-28,3.0,
1630543,2024-10-30,0.0,
1630543,2024-11-01,2.0,
1630544,2024-10-23,2.0,
1630544,2024-10-25,8.0,
1630544,2024-10-26,6.0,
1630544,2024-10-30,6.0,
1630544,2024-11-01,6.0,
1630548,2024-10-29,1.0,
1630548,2024-10-31,0.0,
1630551,2024-10-24,1.0,
1630552,2024-10-23,9.0,
1630552,2024-10-25,10.0,
1630552,2024-10-27,7.0,
1630552,2024-10-28,12.0,
1630552,2024-10-30,6.0,
1630552,2024-11-01,17.0,8.8
1630553,2024-10-25,0.0,
1630553,2024-10-27,1.0,
1630553,2024-10-29,1.0,
1630553,2024-10-30,5.0,
1630553,2024-11-01,1.0,
1630556,2024-10-28,0.0,
1630557,2024-10-24,4.0,
1630557,2024-10-26,3.0,
1630557,2024-10-28,1.0,
1630557,2024-10-30,3.0,
1630558,2024-10-23,5.0,
1630558,2024-10-25,8.0,
1630558,2024-10-26,12.0,
1630558,2024-10-28,4.0,
1630558,2024-10-30,15.0,
1630558,2024-11-01,12.0,8.8
1630559,2024-10-22,8.0,
1630559,2024-10-25,9.0,
1630559,2024-10-26,12.0,
1630559,2024-10-28,10.0,
1630559,2024-10-30,8.0,
1630559,2024-11-01,7.0,9.4
1630560,2024-10-23,8.0,
1630560,2024-10-25,5.0,
1630560,2024-10-27,11.0,
1630560,2024-10-29,7.0,
1630560,2024-10-30,5.0,
1630560,2024-11-01,8.0,7.2
1630567,2024-10-23,7.0,
1630567,2024-10-25,9.0,
1630567,2024-10-26,14.0,
1630567,2024-10-28,19.0,
1630572,2024-10-24,0.0,
1630572,2024-10-30,1.0,
1630572,2024-10-31,0.0,
1630573,2024-10-22,2.0,
1630573,2024-10-30,2.0,
1630573,2024-11-01,2.0,
1630574,2024-10-22,0.0,
1630574,2024-10-25,0.0,
1630574,2024-10-28,0.0,
1630574,2024-11-01,0.0,
1630577,2024-10-24,3.0,
1630577,2024-10-28,4.0,
1630577,2024-10-30,0.0,
1630577,2024-10-31,5.0,
1630578,2024-10-23,8.0,
1630578,2024-10-25,4.0,
1630578,2024-10-28,11.0,
1630578,2024-10-31,10.0,
1630579,2024-10-22,5.0,
1630579,2024-10-25,0.0,
1630579,2024-10-28,1.0,
1630579,2024-10-30,0.0,
1630579,2024-11-01,0.0,
1630581,2024-10-23,6.0,
1630581,2024-10-25,11.0,
1630581,2024-10-26,12.0,
1630581,2024-10-28,12.0,
1630581,2024-10-30,13.0,
1630581,2024-11-01,14.0,10.8
1630583,2024-10-23,2.0,
1630583,2024-10-25,2.0,
1630583,2024-10-26,7.0,
1630583,2024-10-28,8.0,
1630583,2024-10-30,2.0,
1630583,2024-10-31,4.0,4.2
1630590,2024-10-23,10.0,
1630590,2024-10-25,8.0,
1630590,2024-10-26,11.0,
1630590,2024-10-28,11.0,
1630590,2024-10-30,7.0,
1630590,2024-10-31,5.0,9.4
1630591,2024-10-23,5.0,
1630591,2024-10-25,5.0,
